title,genre
Harry Potter and the Deathly Hallows: Part 1,Adventure
How to Train Your Dragon,Fantasy
Iron Man 2,Adventure
Inception,Action
Percy Jackson & the Olympians: The Lightning Thief,Adventure
Toy Story 3,Animation
Despicable Me,Animation
Megamind,Animation
Alice in Wonderland,Family
The Expendables,Thriller
Tangled,Animation
Saw: The Final Chapter,Horror
The Twilight Saga: Eclipse,Adventure
The Book of Eli,Action
LelleBelle,Music
Shutter Island,Drama
Knight and Day,Action
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure
Step Up 3D,Drama
The A-Team,Thriller
The King's Speech,Drama
The Last Airbender,Action
Predators,Action
The Social Network,Drama
Undisputed III: Redemption,Action
Clash of the Titans,Adventure
The Back-Up Plan,Comedy
Robin Hood,Action
Nanny McPhee and the Big Bang,Comedy
Shrek Forever After,Comedy
Easy A,Comedy
The Sorcerer's Apprentice,Fantasy
Scott Pilgrim vs. the World,Action
Grown Ups,Comedy
Faster,Crime
The Wolfman,Horror
Unstoppable,Action
Black Swan,Drama
Tinker Bell and the Great Fairy Rescue,Animation
Three Steps Above Heaven,Romance
Centurion,Adventure
The Other Guys,Action
The Town,Crime
Jonah Hex,Action
TRON: Legacy,Adventure
Prince of Persia: The Sands of Time,Adventure
The Lovely Bones,Fantasy
True Grit,Drama
I Spit on Your Grave,Thriller
Kick-Ass,Action
Robot Chicken: Star Wars Episode III,Comedy
Salt,Action
Legend of the BoneKnapper Dragon,TV Movie
From Paris with Love,Action
Batman: Under the Red Hood,Action
Arthur 3: The War of the Two Worlds,Animation
Tooth Fairy,Comedy
Machete,Action
The Secret in Their Eyes,Crime
Date Night,Comedy
Due Date,Comedy
Repo Men,Action
Superman/Shazam!: The Return of Black Adam,Animation
Summer Wars,Animation
The Karate Kid,Action
Diary of a Wimpy Kid,Comedy
The Crazies,Mystery
The Girl Who Kicked the Hornet's Nest,Action
Little Fockers,Comedy
RED,Action
Dear John,Drama
Legion,Horror
Tales from Earthsea,Adventure
Leap Year,Romance
Life As We Know It,Comedy
The Girl Who Played with Fire,Drama
Fair Game,Drama
Camp Rock 2: The Final Jam,Comedy
Green Zone,War
Justice League: Crisis on Two Earths,Action
Remember Me,Drama
127 Hours,Adventure
Scooby-Doo! Curse of the Lake Monster,Mystery
Piranha 3D,Comedy
Valhalla Rising,Adventure
Edge of Darkness,Crime
The Extraordinary Adventures of Adèle Blanc-Sec,Fantasy
Valentine's Day,Comedy
The Next Three Days,Romance
Kung Fu Panda Holiday,Animation
Buried,Drama
Operation: Endgame,Adventure
Gulliver's Travels,Comedy
Legend of the Guardians: The Owls of Ga'Hoole,Animation
The Spy Next Door,Action
Jackass 3D,Comedy
District 13: Ultimatum,Action
[REC]²,Thriller
Open Season 3,Adventure
Morning Glory,Comedy
Harry Brown,Thriller
Cats & Dogs: The Revenge of Kitty Galore,Comedy
The Fighter,Drama
The Tourist,Action
The Cutting Edge: Fire & Ice,Drama
Barbie in A Mermaid Tale,Animation
Ip Man,Drama
Killers,Action
You Again,Comedy
Devil,Horror
The Losers,Action
Animal Kingdom,Drama
Wall Street: Money Never Sleeps,Drama
Monsters,Drama
Hot Tub Time Machine,Science Fiction
A Matter of Loaf and Death,Animation
Love & Other Drugs,Drama
16 Wishes,Fantasy
Never Let Me Go,Drama
It's Kind of a Funny Story,Comedy
Eat Pray Love,Drama
Sex and the City 2,Comedy
Four Lions,Comedy
When in Rome,Comedy
The Bounty Hunter,Action
Winter's Bone,Drama
Waiting for Forever,Drama
My Soul to Take,Drama
A Nightmare on Elm Street,Horror
Flipped,Romance
Let Me In,Drama
Unthinkable,Drama
Frozen,Thriller
Smokin' Aces 2: Assassins' Ball,Action
Enter the Void,Fantasy
Bereavement,Crime
Inside Job,Documentary
Mother's Day,Crime
Charlie St. Cloud,Drama
Furry Vengeance,Comedy
Casino Jack,Crime
Starstruck,Comedy
Beauty & the Briefcase,Romance
Another Year,Comedy
Letters to Juliet,Comedy
Rabbit Hole,Drama
Wild Target,Action
The Last Exorcism,Horror
The Experiment,Thriller
Animals United,Animation
Bitch Slap,Drama
Heartbreaker,Romance
The Last Song,Drama
Welcome to the South,Comedy
Tucker and Dale vs. Evil,Comedy
Yogi Bear,Comedy
The Disappearance of Alice Creed,Crime
You Don't Know Jack,Drama
Secretariat,Drama
The American,Crime
Blue Valentine,Drama
Vampires Suck,Comedy
Incendies,Drama
Takers,Action
"Family Guy Presents: Something, Something, Something, Dark Side",Animation
Superman/Batman: Apocalypse,Action
Skyline,Science Fiction
Cop Out,Action
Chloe,Drama
Stake Land,Drama
Fortress of War,War
Cave of Forgotten Dreams,Documentary
The Descent: Part 2,Adventure
Titanic 2,Action
Dante's Inferno: An Animated Epic,Action
22 Bullets,Action
Exit Through the Gift Shop,Documentary
Room in Rome,Drama
Burlesque,Drama
Elektra Luxx,Comedy
Cold Fish,Drama
We Are the Night,Fantasy
Elena Undone,Drama
The Final,Thriller
Hatchet II,Horror
Louis C.K.: Hilarious,Comedy
Ca$h,Crime
Marmaduke,Family
Get Him to the Greek,Comedy
Womb,Romance
London Boulevard,Drama
Twelve,Thriller
Redline,Fantasy
The Kids Are All Right,Comedy
BloodRayne: The Third Reich,Action
Peacock,Mystery
Don't Be Afraid of the Dark,Fantasy
The Illusionist,Animation
Stone,Drama
Welcome to the Rileys,Drama
Rubber,Comedy
Bunraku,Thriller
Going the Distance,Comedy
Julia's Eyes,Horror
The Warrior's Way,Adventure
Last Night,Drama
Get Low,Comedy
Loose Cannons,Comedy
The Runaways,Drama
Bloomington,Drama
Paranormal Activity 2,Horror
Tom and Jerry Meet Sherlock Holmes,Adventure
Mesrine: Killer Instinct,Drama
Mega Shark vs. Crocosaurus,Action
Metropia,Animation
The Company Men,Drama
Alpha and Omega,Animation
Avalon High,TV Movie
30 Days of Night: Dark Days,Horror
Minions: Orientation Day,Animation
Planet Hulk,Animation
13,Drama
Survival of the Dead,Horror
The Solitude of Prime Numbers,Drama
14 Blades,Drama
Barbie: A Fashion Fairytale,Family
Sharktopus,Horror
Burning Bright,Drama
Hereafter,Drama
All Good Things,Drama
Defendor,Drama
The Dead,Horror
Day & Night,Animation
Dabangg,Action
The Ghost Writer,Thriller
Inhale,Drama
Le Mac,Comedy
She's Out of My League,Comedy
Triangle,Horror
Boy,Drama
All That Glitters,Comedy
The Switch,Comedy
Cyrus,Comedy
The Perfect Date,Comedy
Mesrine: Public Enemy #1,Action
Lottery Ticket,Comedy
Biutiful,Drama
The Red Baron,Action
The Romantics,Comedy
MacGruber,Action
Mirrors 2,Horror
Kill Theory,Horror
Reign of Assassins,History
My Name Is Khan,Drama
King of Devil's Island,Drama
Little Big Soldier,Action
Somewhere,Comedy
Greenberg,Comedy
Country Strong,Drama
The Nutcracker in 3D,Music
Oceans,Documentary
Conviction,Drama
The Way Back,Drama
The Search for Santa Paws,Family
Ramona and Beezus,Comedy
Student Services,Drama
The Client List,Drama
Castaway on the Moon,Drama
Tamara Drewe,Comedy
Barney's Version,Comedy
Meek's Cutoff,Drama
Kidnapped,Horror
Growth,Horror
Made in Dagenham,Comedy
Donkey's Christmas Shrektacular,Fantasy
Revenge of the Bridesmaids,Comedy
The Lost Future,Adventure
Catfish,Documentary
The Drawn Together Movie: The Movie!,Animation
Triage,Drama
The Tortured,Horror
Kevin Hart: Seriously Funny,Comedy
Hesher,Drama
Howl,Drama
Restrepo,Documentary
Banana,Animation
Lying to Be Perfect,Comedy
Nowhere Boy,Drama
Red White & Blue,Drama
The Killer Inside Me,Crime
Scooby-Doo! Camp Scare,Animation
Just Wright,Comedy
LEGO: The Adventures of Clutch Powers,Action
Nothing to Declare,Comedy
Harriet the Spy: Blog Wars,Comedy
Temple Grandin,Drama
Red Riding: In the Year of Our Lord 1974,Thriller
Across the Line: The Exodus of Charlie Wright,Drama
Death at a Funeral,Comedy
The Rig,Action
Shanghai,Drama
Space Chimps 2: Zartog Strikes Back,Animation
How Do You Know,Comedy
Confucius,Drama
Triassic Attack,Horror
Tiny Furniture,Romance
Stomp the Yard 2: Homecoming,Drama
Scared Shrekless,Animation
What Men Talk About,Comedy
Happythankyoumoreplease,Comedy
Why Did I Get Married Too?,Comedy
YellowBrickRoad,Horror
Dinner for Schmucks,Comedy
Sundays at Tiffany's,Drama
And Soon the Darkness,Horror
Firebreather,Adventure
Crazy on the Outside,Comedy
Carlos,Crime
Free Willy: Escape from Pirate's Cove,Drama
Come Undone,Comedy
The Prince & Me 4: The Elephant Adventure,Comedy
Inception: The Cobol Job,Animation
Beautiful Kate,Mystery
Super Hybrid,Horror
Gasland,Documentary
Mega Piranha,Action
Chain Letter,Horror
Dog Pound,Drama
The Joneses,Comedy
Red Riding: In the Year of Our Lord 1983,Thriller
Lake Placid 3,Horror
I'm Still Here,Music
The Boy Who Cried Werewolf,Family
Hubble 3D,Documentary
Jesse Stone: No Remorse,Drama
"Ultramarines: A Warhammer 40,000 Movie",Animation
Single By Contract,Romance
Professor Layton and the Eternal Diva,Family
Altitude,Horror
Extraordinary Measures,Drama
The Tempest,Drama
The Women on the 6th Floor,Comedy
Red Hill,Action
White Material,Drama
Den Brother,TV Movie
Max Manus: Man of War,Drama
Cemetery Junction,Drama
You Will Meet a Tall Dark Stranger,Comedy
Milf,Comedy
Paris Express,Comedy
Love Ranch,Drama
Sintel,Animation
Terkel in Trouble,Animation
Beautiful Lies,Comedy
The Perfect Host,Comedy
"Waiting for ""Superman""",Documentary
Kites,Drama
Kaboom,Drama
Boy Wonder,Action
Leaves of Grass,Comedy
Five Minarets in New York,Drama
With Love... from the Age of Reason,Comedy
Birdemic: Shock and Terror,Horror
Please Give,Comedy
Skateland,Drama
Guzaarish,Drama
Giallo,Crime
A Dangerous Man,Crime
Grotesque,Horror
