title,production_budget,domestic_gross_x,worldwide_gross,studio,genre_ids,original_language,popularity,vote_average,vote_count,date,Year,Month
Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,BV,"[12, 28, 14]",en,30.579,6.4,8571.0,2011-05-20,2011.0,5.0
Dark Phoenix,350000000.0,42762350.0,149762350.0,,,,,,,,2019.0,6.0
Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,BV,"[28, 12, 878]",en,44.383,7.3,13457.0,2015-05-01,2015.0,5.0
Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,,,,,,,,2017.0,12.0
Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,,,,,,,,2015.0,12.0
Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,BV,"[12, 28, 14]",en,80.773,8.3,13948.0,2018-04-27,2018.0,4.0
Justice League,300000000.0,229024295.0,655945209.0,WB,"[28, 12, 14, 878]",en,34.953,6.2,7510.0,2017-11-17,2017.0,11.0
Spectre,300000000.0,200074175.0,879620923.0,Sony,"[28, 12, 80]",en,30.318,6.4,6719.0,2015-11-06,2015.0,11.0
The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,WB,"[28, 80, 18, 53]",en,26.22,7.7,13933.0,2012-07-20,2012.0,7.0
Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,BV,"[28, 12, 878]",en,29.502,6.6,3838.0,2018-05-25,2018.0,5.0
The Lone Ranger,275000000.0,89302115.0,260002115.0,BV,"[28, 12, 37]",en,12.482,6.0,3789.0,2013-07-03,2013.0,7.0
John Carter,275000000.0,73058679.0,282778100.0,BV,"[28, 12, 878]",en,18.549,6.1,3338.0,2012-03-09,2012.0,3.0
Tangled,260000000.0,200821936.0,586477240.0,BV,"[16, 10751]",en,21.511,7.5,6407.0,2010-11-24,2010.0,11.0
Captain America: Civil War,250000000.0,408084349.0,1140069413.0,BV,"[12, 28, 878]",en,39.137,7.4,14000.0,2016-05-06,2016.0,5.0
Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,WB,"[28, 12, 14]",en,28.088,5.8,11991.0,2016-03-25,2016.0,3.0
The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,WB (NL),"[12, 14, 28]",en,26.939,7.2,12076.0,2012-12-14,2012.0,12.0
The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,WB (NL),"[12, 14, 28]",en,21.275,7.6,7739.0,2013-12-13,2013.0,12.0
The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,WB (NL),"[28, 12, 14]",en,53.783,7.3,8392.0,2014-12-17,2014.0,12.0
The Fate of the Furious,250000000.0,225764765.0,1234846267.0,Uni.,"[28, 80, 53]",en,28.668000000000006,6.9,6335.0,2017-04-14,2017.0,4.0
Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,BV,"[12, 28, 14, 35]",en,28.101,6.6,6931.0,2017-05-26,2017.0,5.0
The Avengers,225000000.0,623279547.0,1517935897.0,,"[878, 28, 12]",en,50.289,7.6,19673.0,2012-05-04,2012.0,5.0
Man of Steel,225000000.0,291045518.0,667999518.0,WB,"[28, 12, 14, 878]",en,27.667,6.5,9758.0,2013-06-14,2013.0,6.0
The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,Sony,"[28, 12, 14]",en,24.391,6.5,10411.0,2012-07-04,2012.0,7.0
Battleship,220000000.0,65233400.0,313477717.0,Uni.,"[53, 28, 12, 878]",en,21.742,5.6,3240.0,2012-05-18,2012.0,5.0
